counts	precmz	delta_mass	delta_mass_r2	putative explanation	delta_MF_final	delta_MF_unique_combination
97	204.12646	42.01396	42.01	CAR C2:0	C2H2O	CHO
709	204.12006	42.00756	42.01	CAR C2:0	C2H2O	CHO
78244	204.12321	42.01071	42.01	CAR C2:0	C2H2O	CHO
2	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
3	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
4	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
2	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
4	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
20	204.12325	42.01075	42.01	CAR C2:0	C2H2O	CHO
2	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
3	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
3	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
12	204.1225	42.01	42.01	CAR C2:0	C2H2O	CHO
6	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
3	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
10	204.12343	42.01093	42.01	CAR C2:0	C2H2O	CHO
3	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
3	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
4	204.1232	42.0107	42.01	CAR C2:0	C2H2O	CHO
7	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
2	204.12025	42.00775	42.01	CAR C2:0	C2H2O	CHO
42	204.12424	42.01174	42.01	CAR C2:0	C2H2O	CHO
2	204.12102	42.00852	42.01	CAR C2:0	C2H2O	CHO
9	204.12308	42.01058	42.01	CAR C2:0	C2H2O	CHO
9	204.12358	42.01108	42.01	CAR C2:0	C2H2O	CHO
2	204.12282	42.01032	42.01	CAR C2:0	C2H2O	CHO
10	204.12302	42.01052	42.01	CAR C2:0	C2H2O	CHO
302	204.1232	42.0107	42.01	CAR C2:0	C2H2O	CHO
2	204.12195	42.00945	42.01	CAR C2:0	C2H2O	CHO
2	204.12195	42.00945	42.01	CAR C2:0	C2H2O	CHO
14	204.12366	42.01116	42.01	CAR C2:0	C2H2O	CHO
14	204.123	42.0105	42.01	CAR C2:0	C2H2O	CHO
74	204.12209	42.00959	42.01	CAR C2:0	C2H2O	CHO
5	204.12337	42.01087	42.01	CAR C2:0	C2H2O	CHO
4	204.12247	42.00997	42.01	CAR C2:0	C2H2O	CHO
2	204.12204	42.00954	42.01	CAR C2:0	C2H2O	CHO
2	204.12209	42.00959	42.01	CAR C2:0	C2H2O	CHO
5	204.12286	42.01036	42.01	CAR C2:0	C2H2O	CHO
2	204.12202	42.00952	42.01	CAR C2:0	C2H2O	CHO
35	204.12224	42.00974	42.01	CAR C2:0	C2H2O	CHO
4	204.12305	42.01055	42.01	CAR C2:0	C2H2O	CHO
2	204.12247	42.00997	42.01	CAR C2:0	C2H2O	CHO
2	204.12299	42.01049	42.01	CAR C2:0	C2H2O	CHO
5	204.12305	42.01055	42.01	CAR C2:0	C2H2O	CHO
2	204.12219	42.00969	42.01	CAR C2:0	C2H2O	CHO
2	204.12216	42.00966	42.01	CAR C2:0	C2H2O	CHO
2	204.12219	42.00969	42.01	CAR C2:0	C2H2O	CHO
2	204.12213	42.00963	42.01	CAR C2:0	C2H2O	CHO
5	204.12282	42.01032	42.01	CAR C2:0	C2H2O	CHO
2	204.12215	42.00965	42.01	CAR C2:0	C2H2O	CHO
2	204.12212	42.00962	42.01	CAR C2:0	C2H2O	CHO
2	204.12216	42.00966	42.01	CAR C2:0	C2H2O	CHO
11	204.12225	42.00975	42.01	CAR C2:0	C2H2O	CHO
2	204.12212	42.00962	42.01	CAR C2:0	C2H2O	CHO
2	204.12213	42.00963	42.01	CAR C2:0	C2H2O	CHO
11	204.12251	42.01001	42.01	CAR C2:0	C2H2O	CHO
8	204.12256	42.01006	42.01	CAR C2:0	C2H2O	CHO
2	204.12221	42.00971	42.01	CAR C2:0	C2H2O	CHO
3	204.12331	42.01081	42.01	CAR C2:0	C2H2O	CHO
2	204.12225	42.00975	42.01	CAR C2:0	C2H2O	CHO
2	204.1223	42.0098	42.01	CAR C2:0	C2H2O	CHO
2	204.12225	42.00975	42.01	CAR C2:0	C2H2O	CHO
2	204.12225	42.00975	42.01	CAR C2:0	C2H2O	CHO
4	204.12236	42.00986	42.01	CAR C2:0	C2H2O	CHO
2	204.12222	42.00972	42.01	CAR C2:0	C2H2O	CHO
6	204.12222	42.00972	42.01	CAR C2:0	C2H2O	CHO
4	204.12253	42.01003	42.01	CAR C2:0	C2H2O	CHO
3	204.12321	42.01071	42.01	CAR C2:0	C2H2O	CHO
2	204.12222	42.00972	42.01	CAR C2:0	C2H2O	CHO
2	204.12222	42.00972	42.01	CAR C2:0	C2H2O	CHO
4	204.12236	42.00986	42.01	CAR C2:0	C2H2O	CHO
2	204.12227	42.00977	42.01	CAR C2:0	C2H2O	CHO
3	204.12355	42.01105	42.01	CAR C2:0	C2H2O	CHO
3	204.12251	42.01001	42.01	CAR C2:0	C2H2O	CHO
2	204.12225	42.00975	42.01	CAR C2:0	C2H2O	CHO
2	204.12222	42.00972	42.01	CAR C2:0	C2H2O	CHO
2	204.12227	42.00977	42.01	CAR C2:0	C2H2O	CHO
6	204.12224	42.00974	42.01	CAR C2:0	C2H2O	CHO
31	204.12325	42.01075	42.01	CAR C2:0	C2H2O	CHO
25	204.12233	42.00983	42.01	CAR C2:0	C2H2O	CHO
5	204.12323	42.01073	42.01	CAR C2:0	C2H2O	CHO
2	204.12222	42.00972	42.01	CAR C2:0	C2H2O	CHO
4	204.12303	42.01053	42.01	CAR C2:0	C2H2O	CHO
2	204.12225	42.00975	42.01	CAR C2:0	C2H2O	CHO
2	204.12291	42.01041	42.01	CAR C2:0	C2H2O	CHO
2	204.12239	42.00989	42.01	CAR C2:0	C2H2O	CHO
2	204.12225	42.00975	42.01	CAR C2:0	C2H2O	CHO
2	204.12225	42.00975	42.01	CAR C2:0	C2H2O	CHO
6	204.12263	42.01013	42.01	CAR C2:0	C2H2O	CHO
2	204.12222	42.00972	42.01	CAR C2:0	C2H2O	CHO
2	204.12227	42.00977	42.01	CAR C2:0	C2H2O	CHO
3	204.12236	42.00986	42.01	CAR C2:0	C2H2O	CHO
2	204.12227	42.00977	42.01	CAR C2:0	C2H2O	CHO
2	204.12222	42.00972	42.01	CAR C2:0	C2H2O	CHO
2	204.12221	42.00971	42.01	CAR C2:0	C2H2O	CHO
2	204.12227	42.00977	42.01	CAR C2:0	C2H2O	CHO
2	204.12227	42.00977	42.01	CAR C2:0	C2H2O	CHO
7	204.12238	42.00988	42.01	CAR C2:0	C2H2O	CHO
2	204.12248	42.00998	42.01	CAR C2:0	C2H2O	CHO
2	204.12221	42.00971	42.01	CAR C2:0	C2H2O	CHO
3	204.12288	42.01038	42.01	CAR C2:0	C2H2O	CHO
4	204.12239	42.00989	42.01	CAR C2:0	C2H2O	CHO
2	204.12238	42.00988	42.01	CAR C2:0	C2H2O	CHO
118	204.12309	42.01059	42.01	CAR C2:0	C2H2O	CHO
3	204.12323	42.01073	42.01	CAR C2:0	C2H2O	CHO
2	204.12234	42.00984	42.01	CAR C2:0	C2H2O	CHO
10	204.12306	42.01056	42.01	CAR C2:0	C2H2O	CHO
3	204.12297	42.01047	42.01	CAR C2:0	C2H2O	CHO
2	204.1223	42.0098	42.01	CAR C2:0	C2H2O	CHO
2	204.1223	42.0098	42.01	CAR C2:0	C2H2O	CHO
2	204.12231	42.00981	42.01	CAR C2:0	C2H2O	CHO
5	204.12312	42.01062	42.01	CAR C2:0	C2H2O	CHO
2	204.12233	42.00983	42.01	CAR C2:0	C2H2O	CHO
2	204.12234	42.00984	42.01	CAR C2:0	C2H2O	CHO
2	204.12231	42.00981	42.01	CAR C2:0	C2H2O	CHO
3	204.1225	42.01	42.01	CAR C2:0	C2H2O	CHO
2	204.12239	42.00989	42.01	CAR C2:0	C2H2O	CHO
2	204.12233	42.00983	42.01	CAR C2:0	C2H2O	CHO
2	204.12233	42.00983	42.01	CAR C2:0	C2H2O	CHO
2	204.12233	42.00983	42.01	CAR C2:0	C2H2O	CHO
3	204.12253	42.01003	42.01	CAR C2:0	C2H2O	CHO
2	204.12238	42.00988	42.01	CAR C2:0	C2H2O	CHO
6	204.12314	42.01064	42.01	CAR C2:0	C2H2O	CHO
2	204.12234	42.00984	42.01	CAR C2:0	C2H2O	CHO
2	204.12239	42.00989	42.01	CAR C2:0	C2H2O	CHO
2	204.12238	42.00988	42.01	CAR C2:0	C2H2O	CHO
3	204.12248	42.00998	42.01	CAR C2:0	C2H2O	CHO
2	204.12231	42.00981	42.01	CAR C2:0	C2H2O	CHO
2	204.12233	42.00983	42.01	CAR C2:0	C2H2O	CHO
6	204.12331	42.01081	42.01	CAR C2:0	C2H2O	CHO
2	204.12238	42.00988	42.01	CAR C2:0	C2H2O	CHO
2	204.12238	42.00988	42.01	CAR C2:0	C2H2O	CHO
2	204.12239	42.00989	42.01	CAR C2:0	C2H2O	CHO
2	204.12236	42.00986	42.01	CAR C2:0	C2H2O	CHO
2	204.12238	42.00988	42.01	CAR C2:0	C2H2O	CHO
3	204.12257	42.01007	42.01	CAR C2:0	C2H2O	CHO
3	204.12306	42.01056	42.01	CAR C2:0	C2H2O	CHO
2	204.12238	42.00988	42.01	CAR C2:0	C2H2O	CHO
2	204.12239	42.00989	42.01	CAR C2:0	C2H2O	CHO
4	204.12244	42.00994	42.01	CAR C2:0	C2H2O	CHO
2	204.12238	42.00988	42.01	CAR C2:0	C2H2O	CHO
3	204.12297	42.01047	42.01	CAR C2:0	C2H2O	CHO
8	204.12326	42.01076	42.01	CAR C2:0	C2H2O	CHO
2	204.12238	42.00988	42.01	CAR C2:0	C2H2O	CHO
2	204.12234	42.00984	42.01	CAR C2:0	C2H2O	CHO
2	204.12233	42.00983	42.01	CAR C2:0	C2H2O	CHO
2	204.12299	42.01049	42.01	CAR C2:0	C2H2O	CHO
2	204.123	42.0105	42.01	CAR C2:0	C2H2O	CHO
4	204.12296	42.01046	42.01	CAR C2:0	C2H2O	CHO
2	204.12236	42.00986	42.01	CAR C2:0	C2H2O	CHO
2	204.12234	42.00984	42.01	CAR C2:0	C2H2O	CHO
2	204.12236	42.00986	42.01	CAR C2:0	C2H2O	CHO
2	204.12231	42.00981	42.01	CAR C2:0	C2H2O	CHO
3	204.12331	42.01081	42.01	CAR C2:0	C2H2O	CHO
2	204.12239	42.00989	42.01	CAR C2:0	C2H2O	CHO
2	204.12236	42.00986	42.01	CAR C2:0	C2H2O	CHO
2	204.12238	42.00988	42.01	CAR C2:0	C2H2O	CHO
2	204.12238	42.00988	42.01	CAR C2:0	C2H2O	CHO
2	204.12239	42.00989	42.01	CAR C2:0	C2H2O	CHO
2	204.12236	42.00986	42.01	CAR C2:0	C2H2O	CHO
18	204.12267	42.01017	42.01	CAR C2:0	C2H2O	CHO
4	204.12233	42.00983	42.01	CAR C2:0	C2H2O	CHO
2	204.12241	42.00991	42.01	CAR C2:0	C2H2O	CHO
6	204.12274	42.01024	42.01	CAR C2:0	C2H2O	CHO
3	204.12254	42.01004	42.01	CAR C2:0	C2H2O	CHO
2	204.12239	42.00989	42.01	CAR C2:0	C2H2O	CHO
2	204.12244	42.00994	42.01	CAR C2:0	C2H2O	CHO
2	204.12248	42.00998	42.01	CAR C2:0	C2H2O	CHO
4	204.12338	42.01088	42.01	CAR C2:0	C2H2O	CHO
4	204.12245	42.00995	42.01	CAR C2:0	C2H2O	CHO
2	204.12248	42.00998	42.01	CAR C2:0	C2H2O	CHO
2	204.12248	42.00998	42.01	CAR C2:0	C2H2O	CHO
3	204.12248	42.00998	42.01	CAR C2:0	C2H2O	CHO
2	204.12308	42.01058	42.01	CAR C2:0	C2H2O	CHO
2	204.12247	42.00997	42.01	CAR C2:0	C2H2O	CHO
3	204.12294	42.01044	42.01	CAR C2:0	C2H2O	CHO
2	204.1225	42.01	42.01	CAR C2:0	C2H2O	CHO
4	204.12245	42.00995	42.01	CAR C2:0	C2H2O	CHO
12	204.12294	42.01044	42.01	CAR C2:0	C2H2O	CHO
2	204.12241	42.00991	42.01	CAR C2:0	C2H2O	CHO
2	204.12248	42.00998	42.01	CAR C2:0	C2H2O	CHO
2	204.12248	42.00998	42.01	CAR C2:0	C2H2O	CHO
5	204.12315	42.01065	42.01	CAR C2:0	C2H2O	CHO
2	204.12242	42.00992	42.01	CAR C2:0	C2H2O	CHO
2	204.1225	42.01	42.01	CAR C2:0	C2H2O	CHO
2	204.12245	42.00995	42.01	CAR C2:0	C2H2O	CHO
3	204.1225	42.01	42.01	CAR C2:0	C2H2O	CHO
2	204.12244	42.00994	42.01	CAR C2:0	C2H2O	CHO
2	204.12242	42.00992	42.01	CAR C2:0	C2H2O	CHO
3	204.12254	42.01004	42.01	CAR C2:0	C2H2O	CHO
2	204.12244	42.00994	42.01	CAR C2:0	C2H2O	CHO
2	204.12241	42.00991	42.01	CAR C2:0	C2H2O	CHO
4	204.1235	42.011	42.01	CAR C2:0	C2H2O	CHO
2	204.12248	42.00998	42.01	CAR C2:0	C2H2O	CHO
2	204.12241	42.00991	42.01	CAR C2:0	C2H2O	CHO
2	204.12244	42.00994	42.01	CAR C2:0	C2H2O	CHO
3	204.12265	42.01015	42.01	CAR C2:0	C2H2O	CHO
2	204.12241	42.00991	42.01	CAR C2:0	C2H2O	CHO
2	204.12244	42.00994	42.01	CAR C2:0	C2H2O	CHO
3	204.12299	42.01049	42.01	CAR C2:0	C2H2O	CHO
2	204.12247	42.00997	42.01	CAR C2:0	C2H2O	CHO
2	204.12244	42.00994	42.01	CAR C2:0	C2H2O	CHO
2	204.12303	42.01053	42.01	CAR C2:0	C2H2O	CHO
4	204.1225	42.01	42.01	CAR C2:0	C2H2O	CHO
2	204.12242	42.00992	42.01	CAR C2:0	C2H2O	CHO
2	204.1225	42.01	42.01	CAR C2:0	C2H2O	CHO
2	204.12289	42.01039	42.01	CAR C2:0	C2H2O	CHO
2	204.12241	42.00991	42.01	CAR C2:0	C2H2O	CHO
4	204.12242	42.00992	42.01	CAR C2:0	C2H2O	CHO
2	204.12245	42.00995	42.01	CAR C2:0	C2H2O	CHO
2	204.12242	42.00992	42.01	CAR C2:0	C2H2O	CHO
2	204.12306	42.01056	42.01	CAR C2:0	C2H2O	CHO
3	204.12305	42.01055	42.01	CAR C2:0	C2H2O	CHO
2	204.12296	42.01046	42.01	CAR C2:0	C2H2O	CHO
2	204.12267	42.01017	42.01	CAR C2:0	C2H2O	CHO
3	204.12263	42.01013	42.01	CAR C2:0	C2H2O	CHO
4	204.12311	42.01061	42.01	CAR C2:0	C2H2O	CHO
5	204.12254	42.01004	42.01	CAR C2:0	C2H2O	CHO
2	204.12254	42.01004	42.01	CAR C2:0	C2H2O	CHO
8	204.12329	42.01079	42.01	CAR C2:0	C2H2O	CHO
3	204.12306	42.01056	42.01	CAR C2:0	C2H2O	CHO
3	204.12279	42.01029	42.01	CAR C2:0	C2H2O	CHO
4	204.12326	42.01076	42.01	CAR C2:0	C2H2O	CHO
2	204.12253	42.01003	42.01	CAR C2:0	C2H2O	CHO
2	204.12254	42.01004	42.01	CAR C2:0	C2H2O	CHO
4	204.12288	42.01038	42.01	CAR C2:0	C2H2O	CHO
3	204.12265	42.01015	42.01	CAR C2:0	C2H2O	CHO
13	204.12262	42.01012	42.01	CAR C2:0	C2H2O	CHO
2	204.12253	42.01003	42.01	CAR C2:0	C2H2O	CHO
22	204.12297	42.01047	42.01	CAR C2:0	C2H2O	CHO
3	204.12314	42.01064	42.01	CAR C2:0	C2H2O	CHO
6	204.12344	42.01094	42.01	CAR C2:0	C2H2O	CHO
2	204.1226	42.0101	42.01	CAR C2:0	C2H2O	CHO
5	204.12288	42.01038	42.01	CAR C2:0	C2H2O	CHO
2	204.1227	42.0102	42.01	CAR C2:0	C2H2O	CHO
2	204.12276	42.01026	42.01	CAR C2:0	C2H2O	CHO
2	204.12292	42.01042	42.01	CAR C2:0	C2H2O	CHO
3	204.12352	42.01102	42.01	CAR C2:0	C2H2O	CHO
5	204.12312	42.01062	42.01	CAR C2:0	C2H2O	CHO
2	204.12267	42.01017	42.01	CAR C2:0	C2H2O	CHO
2	204.12267	42.01017	42.01	CAR C2:0	C2H2O	CHO
3	204.12285	42.01035	42.01	CAR C2:0	C2H2O	CHO
7	204.12318	42.01068	42.01	CAR C2:0	C2H2O	CHO
4	204.12271	42.01021	42.01	CAR C2:0	C2H2O	CHO
3	204.12332	42.01082	42.01	CAR C2:0	C2H2O	CHO
2	204.1228	42.0103	42.01	CAR C2:0	C2H2O	CHO
3	204.12276	42.01026	42.01	CAR C2:0	C2H2O	CHO
9	204.12282	42.01032	42.01	CAR C2:0	C2H2O	CHO
60	204.12315	42.01065	42.01	CAR C2:0	C2H2O	CHO
28	204.12334	42.01084	42.01	CAR C2:0	C2H2O	CHO
2	204.12277	42.01027	42.01	CAR C2:0	C2H2O	CHO
4	204.12328	42.01078	42.01	CAR C2:0	C2H2O	CHO
2	204.12305	42.01055	42.01	CAR C2:0	C2H2O	CHO
22	204.12321	42.01071	42.01	CAR C2:0	C2H2O	CHO
2	204.12279	42.01029	42.01	CAR C2:0	C2H2O	CHO
4	204.12454	42.01204	42.01	CAR C2:0	C2H2O	CHO
2	204.12277	42.01027	42.01	CAR C2:0	C2H2O	CHO
3	204.12289	42.01039	42.01	CAR C2:0	C2H2O	CHO
3	204.12289	42.01039	42.01	CAR C2:0	C2H2O	CHO
3	204.12317	42.01067	42.01	CAR C2:0	C2H2O	CHO
2	204.12279	42.01029	42.01	CAR C2:0	C2H2O	CHO
12	204.12274	42.01024	42.01	CAR C2:0	C2H2O	CHO
9	204.12309	42.01059	42.01	CAR C2:0	C2H2O	CHO
2	204.12277	42.01027	42.01	CAR C2:0	C2H2O	CHO
2	204.1227	42.0102	42.01	CAR C2:0	C2H2O	CHO
2	204.12277	42.01027	42.01	CAR C2:0	C2H2O	CHO
2	204.12276	42.01026	42.01	CAR C2:0	C2H2O	CHO
2	204.12271	42.01021	42.01	CAR C2:0	C2H2O	CHO
2	204.12276	42.01026	42.01	CAR C2:0	C2H2O	CHO
15	204.12291	42.01041	42.01	CAR C2:0	C2H2O	CHO
2	204.1228	42.0103	42.01	CAR C2:0	C2H2O	CHO
2	204.12271	42.01021	42.01	CAR C2:0	C2H2O	CHO
2	204.12273	42.01023	42.01	CAR C2:0	C2H2O	CHO
2	204.12288	42.01038	42.01	CAR C2:0	C2H2O	CHO
2	204.12288	42.01038	42.01	CAR C2:0	C2H2O	CHO
7	204.12325	42.01075	42.01	CAR C2:0	C2H2O	CHO
9	204.12296	42.01046	42.01	CAR C2:0	C2H2O	CHO
3	204.12285	42.01035	42.01	CAR C2:0	C2H2O	CHO
12	204.12288	42.01038	42.01	CAR C2:0	C2H2O	CHO
21	204.12317	42.01067	42.01	CAR C2:0	C2H2O	CHO
3	204.12286	42.01036	42.01	CAR C2:0	C2H2O	CHO
3	204.12289	42.01039	42.01	CAR C2:0	C2H2O	CHO
9	204.12289	42.01039	42.01	CAR C2:0	C2H2O	CHO
3	204.12289	42.01039	42.01	CAR C2:0	C2H2O	CHO
2	204.1228	42.0103	42.01	CAR C2:0	C2H2O	CHO
2	204.12286	42.01036	42.01	CAR C2:0	C2H2O	CHO
4	204.12288	42.01038	42.01	CAR C2:0	C2H2O	CHO
2	204.1232	42.0107	42.01	CAR C2:0	C2H2O	CHO
29	204.12311	42.01061	42.01	CAR C2:0	C2H2O	CHO
5	204.12303	42.01053	42.01	CAR C2:0	C2H2O	CHO
2	204.12285	42.01035	42.01	CAR C2:0	C2H2O	CHO
3	204.12299	42.01049	42.01	CAR C2:0	C2H2O	CHO
4	204.12294	42.01044	42.01	CAR C2:0	C2H2O	CHO
2	204.12289	42.01039	42.01	CAR C2:0	C2H2O	CHO
2	204.12285	42.01035	42.01	CAR C2:0	C2H2O	CHO
2	204.12286	42.01036	42.01	CAR C2:0	C2H2O	CHO
4	204.12311	42.01061	42.01	CAR C2:0	C2H2O	CHO
3	204.12283	42.01033	42.01	CAR C2:0	C2H2O	CHO
2	204.12288	42.01038	42.01	CAR C2:0	C2H2O	CHO
2	204.12332	42.01082	42.01	CAR C2:0	C2H2O	CHO
2	204.12288	42.01038	42.01	CAR C2:0	C2H2O	CHO
2	204.12289	42.01039	42.01	CAR C2:0	C2H2O	CHO
2	204.12289	42.01039	42.01	CAR C2:0	C2H2O	CHO
6	204.12282	42.01032	42.01	CAR C2:0	C2H2O	CHO
2	204.12282	42.01032	42.01	CAR C2:0	C2H2O	CHO
3	204.12289	42.01039	42.01	CAR C2:0	C2H2O	CHO
8	204.12337	42.01087	42.01	CAR C2:0	C2H2O	CHO
3	204.12299	42.01049	42.01	CAR C2:0	C2H2O	CHO
2	204.12292	42.01042	42.01	CAR C2:0	C2H2O	CHO
2	204.12334	42.01084	42.01	CAR C2:0	C2H2O	CHO
4	204.12283	42.01033	42.01	CAR C2:0	C2H2O	CHO
2	204.12282	42.01032	42.01	CAR C2:0	C2H2O	CHO
2	204.12286	42.01036	42.01	CAR C2:0	C2H2O	CHO
2	204.12285	42.01035	42.01	CAR C2:0	C2H2O	CHO
2	204.12288	42.01038	42.01	CAR C2:0	C2H2O	CHO
2	204.12288	42.01038	42.01	CAR C2:0	C2H2O	CHO
2	204.12286	42.01036	42.01	CAR C2:0	C2H2O	CHO
2	204.12302	42.01052	42.01	CAR C2:0	C2H2O	CHO
27	204.12354	42.01104	42.01	CAR C2:0	C2H2O	CHO
4	204.12325	42.01075	42.01	CAR C2:0	C2H2O	CHO
14	204.12294	42.01044	42.01	CAR C2:0	C2H2O	CHO
3	204.12303	42.01053	42.01	CAR C2:0	C2H2O	CHO
2	204.12299	42.01049	42.01	CAR C2:0	C2H2O	CHO
4	204.12299	42.01049	42.01	CAR C2:0	C2H2O	CHO
13	204.12318	42.01068	42.01	CAR C2:0	C2H2O	CHO
2	204.12291	42.01041	42.01	CAR C2:0	C2H2O	CHO
2	204.12291	42.01041	42.01	CAR C2:0	C2H2O	CHO
2	204.12291	42.01041	42.01	CAR C2:0	C2H2O	CHO
8	204.12375	42.01125	42.01	CAR C2:0	C2H2O	CHO
2	204.12291	42.01041	42.01	CAR C2:0	C2H2O	CHO
2	204.12291	42.01041	42.01	CAR C2:0	C2H2O	CHO
2	204.12291	42.01041	42.01	CAR C2:0	C2H2O	CHO
2	204.12291	42.01041	42.01	CAR C2:0	C2H2O	CHO
2	204.12291	42.01041	42.01	CAR C2:0	C2H2O	CHO
2	204.12291	42.01041	42.01	CAR C2:0	C2H2O	CHO
2	204.12291	42.01041	42.01	CAR C2:0	C2H2O	CHO
2	204.12291	42.01041	42.01	CAR C2:0	C2H2O	CHO
6	204.123	42.0105	42.01	CAR C2:0	C2H2O	CHO
12	204.12311	42.01061	42.01	CAR C2:0	C2H2O	CHO
4	204.12303	42.01053	42.01	CAR C2:0	C2H2O	CHO
2	204.12309	42.01059	42.01	CAR C2:0	C2H2O	CHO
10	204.12314	42.01064	42.01	CAR C2:0	C2H2O	CHO
2	204.123	42.0105	42.01	CAR C2:0	C2H2O	CHO
2	204.12296	42.01046	42.01	CAR C2:0	C2H2O	CHO
2	204.12296	42.01046	42.01	CAR C2:0	C2H2O	CHO
3	204.12335	42.01085	42.01	CAR C2:0	C2H2O	CHO
2	204.12294	42.01044	42.01	CAR C2:0	C2H2O	CHO
2	204.12299	42.01049	42.01	CAR C2:0	C2H2O	CHO
2	204.12296	42.01046	42.01	CAR C2:0	C2H2O	CHO
2	204.12303	42.01053	42.01	CAR C2:0	C2H2O	CHO
2	204.12297	42.01047	42.01	CAR C2:0	C2H2O	CHO
2	204.12297	42.01047	42.01	CAR C2:0	C2H2O	CHO
2	204.12297	42.01047	42.01	CAR C2:0	C2H2O	CHO
7	204.12296	42.01046	42.01	CAR C2:0	C2H2O	CHO
2	204.12297	42.01047	42.01	CAR C2:0	C2H2O	CHO
2	204.12296	42.01046	42.01	CAR C2:0	C2H2O	CHO
2	204.12326	42.01076	42.01	CAR C2:0	C2H2O	CHO
14	204.12314	42.01064	42.01	CAR C2:0	C2H2O	CHO
8	204.12302	42.01052	42.01	CAR C2:0	C2H2O	CHO
2	204.12294	42.01044	42.01	CAR C2:0	C2H2O	CHO
2	204.12294	42.01044	42.01	CAR C2:0	C2H2O	CHO
2	204.12292	42.01042	42.01	CAR C2:0	C2H2O	CHO
5	204.12329	42.01079	42.01	CAR C2:0	C2H2O	CHO
2	204.12299	42.01049	42.01	CAR C2:0	C2H2O	CHO
4	204.12309	42.01059	42.01	CAR C2:0	C2H2O	CHO
2	204.12294	42.01044	42.01	CAR C2:0	C2H2O	CHO
2	204.12289	42.01039	42.01	CAR C2:0	C2H2O	CHO
2	204.123	42.0105	42.01	CAR C2:0	C2H2O	CHO
2	204.12296	42.01046	42.01	CAR C2:0	C2H2O	CHO
3	204.12297	42.01047	42.01	CAR C2:0	C2H2O	CHO
3	204.12296	42.01046	42.01	CAR C2:0	C2H2O	CHO
3	204.12302	42.01052	42.01	CAR C2:0	C2H2O	CHO
2	204.12296	42.01046	42.01	CAR C2:0	C2H2O	CHO
2	204.12292	42.01042	42.01	CAR C2:0	C2H2O	CHO
2	204.12292	42.01042	42.01	CAR C2:0	C2H2O	CHO
14	204.12309	42.01059	42.01	CAR C2:0	C2H2O	CHO
2	204.12292	42.01042	42.01	CAR C2:0	C2H2O	CHO
7	204.12361	42.01111	42.01	CAR C2:0	C2H2O	CHO
2	204.12302	42.01052	42.01	CAR C2:0	C2H2O	CHO
5	204.12318	42.01068	42.01	CAR C2:0	C2H2O	CHO
2	204.12299	42.01049	42.01	CAR C2:0	C2H2O	CHO
37	204.123	42.0105	42.01	CAR C2:0	C2H2O	CHO
4	204.12326	42.01076	42.01	CAR C2:0	C2H2O	CHO
2	204.12292	42.01042	42.01	CAR C2:0	C2H2O	CHO
2	204.12337	42.01087	42.01	CAR C2:0	C2H2O	CHO
3	204.12299	42.01049	42.01	CAR C2:0	C2H2O	CHO
2	204.12297	42.01047	42.01	CAR C2:0	C2H2O	CHO
4	204.12346	42.01096	42.01	CAR C2:0	C2H2O	CHO
6	204.12291	42.01041	42.01	CAR C2:0	C2H2O	CHO
4	204.12317	42.01067	42.01	CAR C2:0	C2H2O	CHO
2	204.12299	42.01049	42.01	CAR C2:0	C2H2O	CHO
2	204.12302	42.01052	42.01	CAR C2:0	C2H2O	CHO
3	204.12297	42.01047	42.01	CAR C2:0	C2H2O	CHO
2	204.12296	42.01046	42.01	CAR C2:0	C2H2O	CHO
4	204.12297	42.01047	42.01	CAR C2:0	C2H2O	CHO
8	204.12317	42.01067	42.01	CAR C2:0	C2H2O	CHO
6	204.12332	42.01082	42.01	CAR C2:0	C2H2O	CHO
8	204.12309	42.01059	42.01	CAR C2:0	C2H2O	CHO
4	204.12309	42.01059	42.01	CAR C2:0	C2H2O	CHO
2	204.12308	42.01058	42.01	CAR C2:0	C2H2O	CHO
5	204.12302	42.01052	42.01	CAR C2:0	C2H2O	CHO
2	204.12308	42.01058	42.01	CAR C2:0	C2H2O	CHO
2	204.12309	42.01059	42.01	CAR C2:0	C2H2O	CHO
2	204.12309	42.01059	42.01	CAR C2:0	C2H2O	CHO
2	204.12309	42.01059	42.01	CAR C2:0	C2H2O	CHO
2	204.12306	42.01056	42.01	CAR C2:0	C2H2O	CHO
5	204.12317	42.01067	42.01	CAR C2:0	C2H2O	CHO
6	204.12312	42.01062	42.01	CAR C2:0	C2H2O	CHO
3	204.12302	42.01052	42.01	CAR C2:0	C2H2O	CHO
3	204.123	42.0105	42.01	CAR C2:0	C2H2O	CHO
6	204.12312	42.01062	42.01	CAR C2:0	C2H2O	CHO
