#Scan#	query_validation_85at5	SpectrumID	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
10	Did not pass any selected query																																												
100	Did not pass any selected query																																												
10000	Did not pass any selected query																																												
10002	Did not pass any selected query																																												
10003	Did not pass any selected query																																												
10004	Did not pass any selected query																																												
10005	Did not pass any selected query																																												
10006	Did not pass any selected query																																												
10007	Did not pass any selected query																																												
10008	Carnitine_85at5	CCMSLIB00016462132	spectra_filtered.mgf	Carnitines_library_2025_testing_V2_MassQL_only.mgf	0.982148	12848000	0	2.07095	14	0.000671387	324.191	1	temp/spectra_filtered.mgf10008	1	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	helenamrusso	M+H	324.192	324.192	1						4	Positive	PRIVATE-USER	324.192	UPDATE-SINGLE-ANNOTATED-BRONZE	Insilico											mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00016462132
10009	Did not pass any selected query																																												
1001	Did not pass any selected query																																												
10011	Carnitine_85at5																																												
10012	Did not pass any selected query																																												
10013	Did not pass any selected query																																												
10014	Did not pass any selected query																																												
10015	Did not pass any selected query																																												
10016	Did not pass any selected query																																												
10017	Did not pass any selected query																																												
1002	Did not pass any selected query																																												
10020	Did not pass any selected query																																												
10021	Did not pass any selected query																																												
10022	Did not pass any selected query																																												
10023	Did not pass any selected query																																												
10024	Did not pass any selected query																																												
10025	Did not pass any selected query																																												
10026	Did not pass any selected query																																												
10027	Carnitine_85at5	CCMSLIB00016460650	spectra_filtered.mgf	Carnitines_library_2025_testing_V2_MassQL_only.mgf	0.95977	3214300	0	2.71993	11	0.000854492	314.159	1	temp/spectra_filtered.mgf10027	1	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	helenamrusso	M+H	314.16	314.16	1						4	Positive	PRIVATE-USER	314.16	UPDATE-SINGLE-ANNOTATED-BRONZE	Insilico											mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00016460650
10028	Did not pass any selected query																																												
10029	Did not pass any selected query																																												
1003	Did not pass any selected query																																												
10030	Did not pass any selected query																																												
10031	Did not pass any selected query																																												
10032	Did not pass any selected query																																												
10033	Did not pass any selected query																																												
10034	Did not pass any selected query																																												
10037	Did not pass any selected query																																												
10038	Did not pass any selected query																																												
10039	Did not pass any selected query																																												
1004	Did not pass any selected query																																												
10040	Did not pass any selected query																																												
10043	Did not pass any selected query																																												
10044	Did not pass any selected query																																												
10046	Did not pass any selected query																																												
10047	Did not pass any selected query																																												
10048	Did not pass any selected query																																												
10049	Did not pass any selected query																																												
1005	Did not pass any selected query																																												
10050	Did not pass any selected query																																												
10051	Did not pass any selected query																																												
10053	Did not pass any selected query																																												
10055	Did not pass any selected query																																												
10056	Did not pass any selected query																																												
10058	Did not pass any selected query																																												
10059	Did not pass any selected query																																												
1006	Did not pass any selected query																																												
10060	Did not pass any selected query																																												
10061	Did not pass any selected query																																												
10062	Did not pass any selected query																																												
10064	Did not pass any selected query																																												
10065	Did not pass any selected query																																												
10066	Did not pass any selected query																																												
10067	Did not pass any selected query																																												
10068	Did not pass any selected query																																												
10069	Did not pass any selected query																																												
10070	Did not pass any selected query																																												
10071	Did not pass any selected query																																												
10072	Did not pass any selected query																																												
10074	Did not pass any selected query																																												
10075	Did not pass any selected query																																												
10076	Did not pass any selected query																																												
10077	Did not pass any selected query																																												
10079	Did not pass any selected query																																												
1008	Did not pass any selected query																																												
10081	Did not pass any selected query																																												
10082	Did not pass any selected query																																												
10083	Did not pass any selected query																																												
10084	Did not pass any selected query																																												
10085	Did not pass any selected query																																												
10086	Did not pass any selected query																																												
10087	Did not pass any selected query																																												
10088	Did not pass any selected query																																												
10089	Did not pass any selected query																																												
1009	Did not pass any selected query																																												
10091	Did not pass any selected query																																												
10092	Did not pass any selected query																																												
10093	Did not pass any selected query																																												
10094	Did not pass any selected query																																												
